test_end,Returns
2020-01-31,0.015159577697597015
2020-02-28,0.005575092089549016
2020-03-31,0.022080673787094975
2020-04-30,0.027590823985500446
2020-05-29,0.030198925240297214
2020-06-30,0.010558690536163182
2020-07-31,0.017144003889144246
2020-08-31,0.004283755564522096
2020-09-30,0.0025163690638002833
2020-10-30,-0.009340088486529051
2020-11-30,0.03554689385553867
2020-12-31,-0.004123920077747961
2021-01-29,0.003943041766425637
2021-02-26,0.020772479480464956
2021-03-31,0.005882024004134975
2021-04-30,-0.006553895079872315
2021-05-28,-0.009529550365780626
2021-06-30,-0.0059591246929052485
2021-07-30,-0.01203075948221836
2021-08-31,0.01092569844554614
2021-09-30,0.013157921205869791
2021-10-29,0.01262739337359649
2021-11-30,-0.008206691555729149
2021-12-31,0.0026209607829805743
2022-01-31,0.0007363082929261466
2022-02-28,0.019524928426513547
2022-03-31,0.0023055290346121193
2022-04-29,-0.0008897366611400059
2022-05-31,0.00022493150381732252
2022-06-30,-0.007661941525187732
2022-07-29,0.006459427357884333
2022-08-31,-0.020709573293688763
2022-09-30,-0.019562236911445208
2022-10-31,-0.0035313926347377844
2022-11-30,0.008163167196359703
2022-12-30,-0.006211285098521612
2023-01-31,0.017673957978484367
2023-02-28,0.0012356407642135632
2023-03-31,0.00014675008678152908
2023-04-28,0.015219357285014409
2023-05-31,-0.0005656626088670347
2023-06-30,0.008208261621501631
2023-07-31,0.009487462520861337
2023-08-31,0.00947789993284894
2023-09-29,0.0017187031036622255
2023-10-31,-0.005322518485536913
2023-11-30,0.021807474833262574
2023-12-29,-0.002973276829522339
2024-01-31,0.010567594700633818
2024-02-29,-0.011356085998493168
2024-03-28,0.0013850606157588998
2024-04-30,0.001229954836580434
2024-05-31,-0.003973090967082434
2024-06-28,-0.011725337359673738
2024-07-31,0.03533647866952765
2024-08-30,0.018531825374666053
2024-09-30,0.013666836018217329
2024-10-31,0.008634851353262364
2024-11-29,-0.022533946591801232
2024-12-31,0.0008824354770252304
